season,team,team_name
2019-20,1,Arsenal
2019-20,2,Aston Villa
2019-20,3,Bournemouth
2019-20,4,Brighton
2019-20,5,Burnley
2019-20,6,Chelsea
2019-20,7,Crystal Palace
2019-20,8,Everton
2019-20,9,Leicester
2019-20,10,Liverpool
2019-20,11,Man City
2019-20,12,Man Utd
2019-20,13,Newcastle
2019-20,14,Norwich
2019-20,15,Sheffield Utd
2019-20,16,Southampton
2019-20,17,Spurs
2019-20,18,Watford
2019-20,19,West Ham
2019-20,20,Wolves
