NAME,TEAM,POSITION,SEASON,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
James Milner,Brighton,MID,2013-14,60,54,67,1373,1,6,5,19,0,0,0,3,0,0,0,73,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Danny Welbeck,Brighton,FWD,2013-14,75,66,100,1462,9,4,4,22,0,0,0,2,0,0,16,124,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Marcus Bettinelli,Chelsea,GKP,2013-14,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Raheem Sterling,Arsenal,MID,2013-14,55,64,132,2219,9,7,6,31,0,0,0,3,0,0,7,125,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ross Barkley,Aston Villa,MID,2013-14,45,52,112,2288,6,4,7,33,0,0,0,5,0,0,12,116,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Christian Eriksen,Man Utd,MID,2013-14,80,72,132,1976,7,9,6,28,0,0,0,3,0,0,20,162,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jonny Evans,Man Utd,DEF,2013-14,55,47,47,1375,0,0,4,20,0,0,0,0,0,0,7,100,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Luke Shaw,Man Utd,DEF,2013-14,45,51,123,2990,0,2,14,38,0,0,0,4,0,0,10,173,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Dan Burn,Newcastle,DEF,2013-14,40,40,8,607,0,0,0,18,0,0,0,0,0,0,0,25,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Isaac Hayden,Newcastle,MID,2013-14,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
John Ruddy,Newcastle,GKP,2013-14,50,51,135,3420,0,0,12,62,0,0,0,2,0,125,8,186,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
