NAME,TEAM,POSITION,SEASON,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
James Milner,Brighton,MID,2007-08,65,59,84,2227,2,2,0,43,0,0,0,3,0,0,14,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jason Steele,Brighton,GKP,2007-08,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jonny Evans,Man Utd,DEF,2007-08,45,44,50,1336,0,0,0,15,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Tom Heaton,Man Utd,GKP,2007-08,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
John Ruddy,Newcastle,GKP,2007-08,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ashley Young,Everton,DEF,2007-08,70,75,177,3288,8,17,0,48,0,0,0,6,0,0,26,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Asmir Begovic,Everton,GKP,2007-08,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Scott Carson,Man City,GKP,2007-08,55,55,113,3125,0,2,0,46,0,1,0,1,1,82,1,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Fraser Forster,Spurs,GKP,2007-08,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Łukasz Fabiański,West Ham,GKP,2007-08,50,46,15,248,0,0,0,2,0,0,0,0,0,8,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
