NAME,TEAM,POSITION,SEASON,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
Tyrone Mings,Aston Villa,DEF,2015-16,45,41,1,11,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ivan Toney,Brentford,FWD,2015-16,45,42,2,12,0,0,0,1,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
James Milner,Brighton,MID,2015-16,70,66,123,2409,5,11,8,35,0,0,0,9,1,0,13,520,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Danny Welbeck,Brighton,FWD,2015-16,75,69,48,575,4,3,3,10,0,0,0,1,0,0,7,175,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ben Chilwell,Chelsea,DEF,2015-16,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Adam Smith,Bournemouth,DEF,2015-16,40,40,84,2100,2,0,6,35,0,0,0,5,0,0,11,495,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Raheem Sterling,Arsenal,MID,2015-16,90,85,96,1920,6,3,7,30,0,0,0,1,0,0,3,324,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ross Barkley,Aston Villa,MID,2015-16,65,71,158,3076,8,9,9,51,0,0,0,4,0,0,14,652,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Christian Eriksen,Man Utd,MID,2015-16,85,87,178,2936,6,16,11,32,0,0,0,2,0,0,23,770,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jonny Evans,Man Utd,DEF,2015-16,50,45,96,2590,1,1,8,34,0,0,0,4,0,0,11,575,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Marcus Rashford,Man Utd,MID,2015-16,45,47,55,855,5,2,6,7,0,0,0,0,0,0,8,184,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Luke Shaw,Man Utd,DEF,2015-16,55,53,27,450,0,1,3,3,0,0,0,1,0,0,4,135,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jamaal Lascelles,Newcastle,DEF,2015-16,45,42,44,1155,2,0,3,23,0,0,0,0,1,0,2,218,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
John Ruddy,Newcastle,GKP,2015-16,45,41,69,2430,0,0,3,44,0,0,0,0,0,69,1,409,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Matt Targett,Newcastle,DEF,2015-16,40,37,61,1067,0,2,7,10,0,0,0,1,0,0,6,264,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Kieran Trippier,Newcastle,DEF,2015-16,55,49,26,459,1,1,1,4,0,0,0,1,0,0,3,119,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Callum Wilson,Newcastle,FWD,2015-16,55,53,46,771,5,0,1,15,0,0,0,0,0,0,5,161,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ola Aina,Nott'm Forest,DEF,2015-16,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Romelu Lukaku Bolingoli,Chelsea,FWD,2015-16,80,87,185,3170,18,7,9,52,0,0,1,3,0,0,25,621,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Nathaniel Clyne,Crystal Palace,DEF,2015-16,55,52,93,2970,1,0,10,45,0,0,0,6,0,0,2,567,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jeffrey Schlupp,Crystal Palace,MID,2015-16,50,47,52,1387,1,4,2,24,0,0,0,4,0,0,2,285,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Joel Ward,Crystal Palace,DEF,2015-16,45,43,93,2691,2,1,6,41,0,0,0,4,0,0,10,503,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Séamus Coleman,Everton,DEF,2015-16,60,58,94,2383,1,3,8,34,0,0,0,4,0,0,8,519,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Idrissa Gueye,Everton,MID,2015-16,50,46,74,3071,0,2,6,65,0,0,0,10,0,0,3,603,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Mason Holgate,Everton,DEF,2015-16,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jordan Pickford,Everton,GKP,2015-16,40,39,4,180,0,0,0,6,0,0,0,0,0,11,0,41,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ashley Young,Everton,DEF,2015-16,60,56,40,1065,1,3,3,18,0,0,0,5,0,0,0,181,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Asmir Begovic,Everton,GKP,2015-16,50,46,55,1399,0,0,4,24,0,0,0,0,0,55,1,293,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
