NAME,TEAM,POSITION,SEASON,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
Emiliano Martínez Romero,Aston Villa,GKP,2014-15,45,45,14,302,0,0,2,4,0,0,0,0,0,4,0,57,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
James Milner,Brighton,MID,2014-15,55,54,107,1749,5,8,7,19,0,0,0,6,0,0,8,393,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Danny Welbeck,Brighton,FWD,2014-15,70,69,89,1709,4,7,6,19,0,0,0,3,0,0,10,328,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ben Mee,Brentford,DEF,2014-15,45,45,93,2888,2,1,9,44,0,0,0,10,0,0,2,465,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Raheem Sterling,Arsenal,MID,2014-15,85,83,158,3047,7,10,13,39,0,0,0,5,0,0,16,513,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ross Barkley,Aston Villa,MID,2014-15,70,66,75,1961,2,3,7,22,0,0,1,1,0,0,3,356,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Christian Eriksen,Man Utd,MID,2014-15,80,79,162,3132,10,4,9,49,0,0,0,4,0,0,25,689,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jonny Evans,Man Utd,DEF,2014-15,55,50,53,1090,0,0,6,7,0,0,0,1,0,0,5,270,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Tom Heaton,Man Utd,GKP,2014-15,45,47,150,3420,0,0,10,53,0,2,0,1,0,127,11,615,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Harry Maguire,Man Utd,DEF,2014-15,45,41,1,94,0,0,0,3,0,0,0,1,0,0,0,20,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Luke Shaw,Man Utd,DEF,2014-15,60,57,34,1121,0,0,2,14,0,0,0,1,1,0,4,217,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Isaac Hayden,Newcastle,MID,2014-15,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Matt Targett,Newcastle,DEF,2014-15,40,39,7,226,0,0,0,3,0,0,0,0,0,0,0,41,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Kieran Trippier,Newcastle,DEF,2014-15,50,48,118,3415,0,4,10,53,1,0,0,2,0,0,11,693,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Romelu Lukaku Bolingoli,Chelsea,FWD,2014-15,90,87,135,2872,10,6,9,40,1,0,0,1,0,0,12,381,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Nathaniel Clyne,Crystal Palace,DEF,2014-15,50,59,142,3146,2,2,13,32,0,0,0,4,0,0,15,664,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jeffrey Schlupp,Crystal Palace,MID,2014-15,45,45,98,2531,3,2,8,40,1,0,0,4,0,0,2,403,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Joel Ward,Crystal Palace,DEF,2014-15,50,47,90,3330,1,0,7,49,0,0,0,4,0,0,0,488,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Séamus Coleman,Everton,DEF,2014-15,70,68,130,3066,3,4,10,43,1,0,0,5,0,0,11,633,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Michael Keane,Everton,DEF,2014-15,45,42,40,1645,0,1,2,27,0,0,0,1,0,0,0,286,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jordan Pickford,Everton,GKP,2014-15,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ashley Young,Everton,DEF,2014-15,55,51,89,2065,2,6,9,18,0,0,0,5,0,0,9,399,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Asmir Begovic,Everton,GKP,2014-15,50,48,106,3150,0,0,7,43,0,0,0,3,0,87,3,482,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Andreas Hoelgebaum Pereira,Fulham,MID,2014-15,50,50,1,14,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Harrison Reed,Fulham,MID,2014-15,45,43,17,460,0,0,3,3,0,0,0,0,0,0,0,89,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Conor Coady,Leicester,DEF,2014-15,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jamie Vardy,Leicester,FWD,2014-15,50,46,120,2241,5,12,7,40,0,0,0,5,0,0,10,351,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Danny Ward,Leicester,GKP,2014-15,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Harry Winks,Leicester,MID,2014-15,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Mohamed Salah,Liverpool,MID,2014-15,65,60,3,33,0,0,0,3,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Andrew Robertson,Liverpool,DEF,2014-15,45,42,45,1526,0,2,3,27,0,0,0,7,0,0,4,282,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Nathan Aké,Man City,DEF,2014-15,45,43,1,18,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jack Grealish,Man City,MID,2014-15,45,43,31,822,0,1,2,18,0,0,0,0,0,0,2,147,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
John Stones,Man City,DEF,2014-15,55,52,82,2043,1,0,7,25,0,0,0,1,0,0,11,476,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Kyle Walker,Man City,DEF,2014-15,60,58,27,1306,0,1,1,24,0,0,0,3,0,0,1,218,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Craig Dawson,Wolves,DEF,2014-15,45,45,99,2590,2,0,12,38,0,0,0,6,0,0,3,490,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Chris Wood,Nott'm Forest,FWD,2014-15,45,43,11,114,1,0,0,3,0,0,0,0,0,0,0,26,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
James Ward-Prowse,Nott'm Forest,MID,2014-15,50,48,72,1476,1,8,6,15,0,0,0,0,1,0,2,266,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Adam Armstrong,Southampton,FWD,2014-15,45,43,14,211,0,1,0,8,0,0,0,1,0,0,0,35,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Adam Lallana,Southampton,MID,2014-15,85,83,93,1779,5,3,9,22,0,0,0,4,0,0,7,346,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Alex McCarthy,Southampton,GKP,2014-15,40,40,4,237,0,0,0,8,0,0,0,0,0,11,0,31,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jack Stephens,Southampton,DEF,2014-15,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Dominic Solanke-Mitchell,Spurs,FWD,2014-15,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ben Davies,Spurs,DEF,2014-15,50,44,31,895,0,1,2,12,0,0,0,3,0,0,2,160,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Fraser Forster,Spurs,GKP,2014-15,50,53,118,2623,0,0,13,21,0,0,0,1,0,61,0,442,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Aaron Cresswell,West Ham,DEF,2014-15,55,56,129,3420,2,4,9,47,0,0,0,5,0,0,13,593,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Łukasz Fabiański,West Ham,GKP,2014-15,50,53,151,3307,0,0,13,47,0,0,0,0,1,137,9,626,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Danny Ings,West Ham,FWD,2014-15,60,55,139,3025,11,4,8,47,0,0,0,6,0,0,20,439,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Kurt Zouma,West Ham,DEF,2014-15,50,42,40,647,0,0,4,3,0,0,0,0,0,0,3,165,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
