WEB_NAME,PLAYER_ID,POS_ID,PHOTO,SEASON_NAME,ELEMENT_CODE,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
Digne,36,2,101188.jpg,2019-20,101188,60,59,120,3031,0,8,9,49,1,0,0,6,0,0,16,646,743.0,1112.0,293.0,215.0,0,0.00,0.00,0.00,0.00
Hause,40,2,123354.jpg,2019-20,123354,45,44,34,1544,1,0,2,34,0,0,0,3,0,0,0,204,352.8,33.0,248.0,63.4,0,0.00,0.00,0.00,0.00
Konsa,44,2,199798.jpg,2019-20,199798,45,43,65,2038,1,2,5,39,0,0,0,3,0,0,4,335,400.6,151.8,173.0,72.8,0,0.00,0.00,0.00,0.00
Martinez,47,1,98980.jpg,2019-20,98980,45,44,33,770,0,0,3,9,0,0,0,2,0,34,1,169,256.8,0.0,0.0,25.8,0,0.00,0.00,0.00,0.00
McGinn,48,3,122806.jpg,2019-20,122806,55,52,84,2312,3,3,6,41,0,0,0,3,0,0,4,321,458.6,503.3,499.0,145.9,0,0.00,0.00,0.00,0.00
Mings,49,2,149484.jpg,2019-20,149484,45,44,90,2902,2,2,6,53,0,0,0,7,0,0,9,537,758.0,87.3,119.0,96.6,0,0.00,0.00,0.00,0.00
Tielemans,57,3,166989.jpg,2019-20,166989,65,61,117,2823,3,6,12,35,0,0,0,2,0,0,5,531,566.6,805.4,502.0,187.6,0,0.00,0.00,0.00,0.00
Aarons,59,2,232980.jpg,2019-20,232980,45,42,66,3240,0,2,5,71,0,0,0,7,0,0,3,489,566.6,385.2,237.0,119.0,0,0.00,0.00,0.00,0.00
Brooks,62,3,111317.jpg,2019-20,111317,65,61,21,505,1,0,1,12,0,0,0,1,0,0,1,73,82.2,100.8,71.0,25.4,0,0.00,0.00,0.00,0.00
Cook,64,3,155408.jpg,2019-20,155408,50,50,40,1340,0,1,2,30,0,0,0,5,0,0,0,183,187.8,183.1,68.0,43.8,0,0.00,0.00,0.00,0.00
Dunk,120,2,83299.jpg,2019-20,83299,45,48,128,3230,3,3,9,50,0,0,0,9,0,0,17,674,825.6,171.8,469.0,146.8,0,0.00,0.00,0.00,0.00
