WEB_NAME,PLAYER_ID,POS_ID,PHOTO,SEASON_NAME,ELEMENT_CODE,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
Digne,36,2,101188.jpg,2020-21,101188,60,62,120,2681,0,9,9,42,0,0,0,2,1,0,18,590,592.6,704.2,136.0,143.5,0,0.00,0.00,0.00,0.00
Hause,40,2,123354.jpg,2020-21,123354,45,44,32,630,1,0,3,6,0,0,0,2,0,0,3,124,147.0,2.2,57.0,20.7,0,0.00,0.00,0.00,0.00
Kesler-Hayden,43,2,465390.jpg,2020-21,465390,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Konsa,44,2,199798.jpg,2020-21,199798,45,46,119,3195,2,0,12,46,0,0,0,3,0,0,8,580,695.6,34.2,276.0,101.0,0,0.00,0.00,0.00,0.00
Martinez,47,1,98980.jpg,2020-21,98980,45,53,186,3420,0,0,15,46,0,1,0,1,0,142,27,825,1067.2,20.0,0.0,108.5,0,0.00,0.00,0.00,0.00
McGinn,48,3,122806.jpg,2020-21,122806,55,55,114,3330,3,7,14,46,0,0,0,12,0,0,2,492,579.0,600.5,361.0,154.1,0,0.00,0.00,0.00,0.00
Mings,49,2,149484.jpg,2020-21,149484,50,54,128,3194,2,2,14,42,1,0,0,4,1,0,8,633,798.4,97.3,293.0,119.3,0,0.00,0.00,0.00,0.00
Olsen,51,1,111782.jpg,2020-21,111782,45,45,25,630,0,0,2,9,0,0,0,1,0,21,3,119,166.4,0.0,0.0,16.7,0,0.00,0.00,0.00,0.00
Ramsey,53,3,232653.jpg,2020-21,232653,45,45,28,611,0,0,2,10,0,0,0,0,0,0,0,75,72.8,91.7,126.0,28.9,0,0.00,0.00,0.00,0.00
Tielemans,57,3,166989.jpg,2020-21,166989,65,64,133,3356,6,4,11,50,0,0,0,6,0,0,11,633,840.4,788.2,462.0,209.1,0,0.00,0.00,0.00,0.00
Watkins,58,4,178301.jpg,2020-21,178301,60,63,168,3328,14,9,14,46,0,0,1,2,1,0,18,531,815.4,610.4,1721.0,314.0,0,0.00,0.00,0.00,0.00
Jaden,569,3,481624.jpg,2020-21,481624,45,44,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.1,0,0.00,0.00,0.00,0.00
Carvalho,314,3,244858.jpg,2020-21,244858,45,45,12,254,1,0,0,6,0,0,0,0,0,0,0,42,72.4,30.8,161.0,26.5,0,0.00,0.00,0.00,0.00
Dunk,120,2,83299.jpg,2020-21,83299,50,48,130,2932,5,0,11,40,1,0,0,5,2,0,17,626,720.4,136.7,443.0,130.2,0,0.00,0.00,0.00,0.00
Gilmour,124,3,243568.jpg,2020-21,243568,45,43,8,259,0,0,1,2,0,0,0,0,0,0,0,38,36.0,50.9,8.0,9.5,0,0.00,0.00,0.00,0.00
Gross,125,3,60307.jpg,2020-21,60307,60,58,116,2479,3,8,10,28,0,0,1,3,0,0,11,525,620.4,1087.8,415.0,212.3,0,0.00,0.00,0.00,0.00
Lamptey,131,2,232792.jpg,2020-21,232792,45,46,35,887,1,3,2,15,0,0,0,2,1,0,2,156,147.8,162.9,156.0,46.7,0,0.00,0.00,0.00,0.00
March,132,3,109345.jpg,2020-21,109345,50,49,69,1670,2,2,7,25,0,0,0,0,0,0,6,283,368.6,414.3,322.0,110.5,0,0.00,0.00,0.00,0.00
Milner,134,3,15157.jpg,2020-21,15157,55,53,44,1056,0,2,4,10,0,0,0,3,0,0,2,204,200.0,242.0,108.0,55.2,0,0.00,0.00,0.00,0.00
Moder,137,3,243505.jpg,2020-21,243505,50,50,21,643,0,0,2,10,0,0,0,0,0,0,0,59,63.8,62.2,162.0,28.8,0,0.00,0.00,0.00,0.00
Steele,142,1,49262.jpg,2020-21,49262,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Veltman,145,2,111478.jpg,2020-21,111478,45,43,96,2280,1,1,9,27,0,0,0,3,0,0,10,432,484.4,366.0,169.0,102.1,0,0.00,0.00,0.00,0.00
Webster,147,2,110735.jpg,2020-21,110735,45,43,85,2594,1,0,9,35,0,0,0,4,0,0,0,470,505.4,96.6,244.0,84.6,0,0.00,0.00,0.00,0.00
Welbeck,148,4,50175.jpg,2020-21,50175,55,55,89,1541,6,4,6,18,0,0,1,0,0,0,15,286,319.8,269.7,595.0,117.7,0,0.00,0.00,0.00,0.00
Bettinelli,155,1,122074.jpg,2020-21,122074,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Caicedo,157,3,486672.jpg,2020-21,486672,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Chilwell,160,2,172850.jpg,2020-21,172850,55,59,139,2286,3,6,12,23,0,0,0,3,0,0,11,549,545.0,535.8,408.0,148.5,0,0.00,0.00,0.00,0.00
Chukwuemeka,161,3,478912.jpg,2020-21,478912,45,45,2,18,0,0,0,0,0,0,0,0,0,0,0,7,1.0,1.1,5.0,0.6,0,0.00,0.00,0.00,0.00
Gallagher,169,3,232787.jpg,2020-21,232787,55,55,71,2530,2,2,5,48,0,0,0,11,0,0,3,322,437.2,320.1,276.0,103.2,0,0.00,0.00,0.00,0.00
Jebbison,69,4,523700.jpg,2020-21,523700,45,45,12,283,1,0,2,2,0,0,0,0,0,0,1,38,52.4,15.1,66.0,13.1,0,0.00,0.00,0.00,0.00
Arrizabalaga,152,1,109745.jpg,2020-21,109745,50,47,26,585,0,0,2,8,0,0,0,1,0,16,5,117,113.6,0.0,0.0,11.3,0,0.00,0.00,0.00,0.00
Mee,100,2,51927.jpg,2020-21,51927,50,47,102,2693,2,0,10,41,0,0,0,3,0,0,7,500,691.0,71.6,312.0,107.9,0,0.00,0.00,0.00,0.00
G.Jesus,2,4,205651.jpg,2020-21,205651,95,91,115,2056,9,5,11,17,0,0,0,2,0,0,16,453,501.0,467.5,931.0,190.0,0,0.00,0.00,0.00,0.00
Gabriel,3,2,226597.jpg,2020-21,226597,50,49,78,1996,2,0,6,24,0,0,0,2,1,0,7,385,464.8,51.0,233.0,74.9,0,0.00,0.00,0.00,0.00
Havertz,4,4,219847.jpg,2020-21,219847,85,83,91,1512,4,6,8,15,0,0,0,2,0,0,3,268,325.0,307.7,514.0,114.2,0,0.00,0.00,0.00,0.00
Jorginho,7,3,85955.jpg,2020-21,85955,50,47,114,2006,7,2,14,17,0,0,2,2,0,0,15,485,588.8,383.5,175.0,114.9,0,0.00,0.00,0.00,0.00
Martinelli,9,3,444145.jpg,2020-21,444145,50,49,36,582,2,1,4,3,0,0,0,0,0,0,0,107,142.6,133.8,300.0,57.5,0,0.00,0.00,0.00,0.00
Ødegaard,13,3,184029.jpg,2020-21,184029,60,56,40,861,1,2,3,12,0,0,0,0,0,0,3,183,169.8,322.8,167.0,65.9,0,0.00,0.00,0.00,0.00
Rice,16,3,204480.jpg,2020-21,204480,50,47,86,2880,2,1,11,37,0,0,1,2,0,0,2,520,561.2,343.8,303.0,121.3,0,0.00,0.00,0.00,0.00
Saka,17,3,223340.jpg,2020-21,223340,55,51,114,2554,5,5,8,31,1,0,0,1,0,0,8,414,493.0,650.6,984.0,212.7,0,0.00,0.00,0.00,0.00
Saliba,18,2,462424.jpg,2020-21,462424,45,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Thomas,20,3,167199.jpg,2020-21,167199,50,49,47,1529,0,2,6,18,0,0,0,5,0,0,0,273,289.4,195.7,129.0,61.7,0,0.00,0.00,0.00,0.00
Tierney,21,2,192895.jpg,2020-21,192895,55,52,96,2299,1,4,8,27,0,0,0,4,0,0,4,483,446.4,490.1,201.0,113.9,0,0.00,0.00,0.00,0.00
Trossard,23,3,116216.jpg,2020-21,116216,60,55,132,2602,5,6,12,30,0,0,0,2,0,0,15,406,543.4,725.1,759.0,202.8,0,0.00,0.00,0.00,0.00
White,24,2,198869.jpg,2020-21,198869,45,45,104,3192,0,0,12,44,0,0,0,3,1,0,5,571,488.6,152.5,153.0,79.7,0,0.00,0.00,0.00,0.00
Zinchenko,25,2,206325.jpg,2020-21,206325,55,55,69,1473,0,0,8,14,0,0,0,0,0,0,5,353,272.0,295.7,134.0,70.3,0,0.00,0.00,0.00,0.00
Sterling,186,3,103955.jpg,2020-21,103955,115,109,154,2534,10,9,14,23,0,0,1,4,0,0,10,458,663.4,584.1,1366.0,260.3,0,0.00,0.00,0.00,0.00
Barkley,29,3,88894.jpg,2020-21,88894,60,58,76,1566,3,2,8,24,0,0,0,0,0,0,4,286,274.2,579.3,431.0,128.6,0,0.00,0.00,0.00,0.00
Cash,32,2,199796.jpg,2020-21,199796,50,50,89,2373,0,2,11,35,0,0,0,6,1,0,8,468,520.8,352.9,110.0,98.7,0,0.00,0.00,0.00,0.00
Dendoncker,33,3,151589.jpg,2020-21,151589,50,46,77,2498,1,2,11,33,1,0,0,4,0,0,2,330,386.4,261.4,343.0,99.2,0,0.00,0.00,0.00,0.00
Gündogan,625,3,59859.jpg,2020-21,59859,55,55,157,2025,13,4,12,16,0,0,1,1,0,0,22,620,754.6,688.4,712.0,215.7,0,0.00,0.00,0.00,0.00
Amad,364,3,493250.jpg,2020-21,493250,55,54,8,165,0,1,0,3,0,0,0,0,0,0,0,34,38.0,31.2,9.0,7.8,0,0.00,0.00,0.00,0.00
B.Fernandes,366,3,141746.jpg,2020-21,141746,105,113,244,3101,18,14,13,36,0,0,1,6,0,0,36,870,1292.6,1414.9,1253.0,396.2,0,0.00,0.00,0.00,0.00
Dalot,369,2,216051.jpg,2020-21,216051,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Evans,371,2,37642.jpg,2020-21,37642,55,56,109,2473,2,2,10,31,1,0,0,7,0,0,12,536,532.4,129.0,115.0,77.9,0,0.00,0.00,0.00,0.00
Hannibal,373,3,465527.jpg,2020-21,465527,45,45,1,8,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.0,0.0,0.1,0,0.00,0.00,0.00,0.00
Heaton,374,1,21205.jpg,2020-21,21205,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Lindelof,376,2,184667.jpg,2020-21,184667,50,48,102,2585,1,1,10,30,0,0,0,0,0,0,3,527,503.0,102.6,56.0,66.4,0,0.00,0.00,0.00,0.00
Maguire,377,2,95658.jpg,2020-21,95658,55,55,124,3047,2,2,13,36,0,0,0,11,0,0,8,632,701.4,133.6,428.0,126.3,0,0.00,0.00,0.00,0.00
McTominay,381,3,195851.jpg,2020-21,195851,50,49,91,2124,4,2,9,25,0,0,0,3,0,0,4,413,523.2,270.5,314.0,110.9,0,0.00,0.00,0.00,0.00
Mount,382,3,184341.jpg,2020-21,184341,70,73,147,2887,6,7,14,32,0,0,0,2,0,0,16,599,770.4,1336.9,954.0,306.3,0,0.00,0.00,0.00,0.00
Pellistri,384,3,488404.jpg,2020-21,488404,55,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Rashford,385,3,176297.jpg,2020-21,176297,95,96,174,2917,11,11,12,39,0,0,0,4,0,0,9,535,793.2,682.1,1127.0,260.3,0,0.00,0.00,0.00,0.00
Shaw,387,2,106760.jpg,2020-21,106760,50,55,124,2653,1,5,10,33,1,0,0,8,0,0,22,640,596.0,1085.9,243.0,192.8,0,0.00,0.00,0.00,0.00
Almirón,391,3,179018.jpg,2020-21,179018,60,56,97,2426,4,2,5,48,0,0,0,3,0,0,8,367,452.6,447.3,425.0,132.6,0,0.00,0.00,0.00,0.00
Barnes,392,3,201666.jpg,2020-21,201666,70,66,126,1944,9,5,7,25,0,0,0,0,0,0,13,348,556.4,359.0,810.0,172.7,0,0.00,0.00,0.00,0.00
Burn,395,2,78916.jpg,2020-21,78916,45,42,64,2057,1,0,6,28,1,0,0,5,0,0,1,330,389.0,183.1,214.0,78.2,0,0.00,0.00,0.00,0.00
Dúbravka,396,1,67089.jpg,2020-21,67089,50,48,48,1170,0,0,3,19,0,0,0,0,0,45,6,255,346.8,0.0,0.0,34.6,0,0.00,0.00,0.00,0.00
Gordon,398,3,232826.jpg,2020-21,232826,45,43,3,87,0,0,0,0,0,0,0,0,0,0,0,11,14.4,12.7,4.0,3.1,0,0.00,0.00,0.00,0.00
Hayden,400,3,153127.jpg,2020-21,153127,50,46,40,1942,0,0,4,33,0,0,0,8,0,0,0,211,278.0,117.7,155.0,55.3,0,0.00,0.00,0.00,0.00
J.Murphy,402,3,114243.jpg,2020-21,114243,50,49,69,1617,2,3,3,33,0,0,0,3,0,0,7,252,363.4,280.8,289.0,93.2,0,0.00,0.00,0.00,0.00
Joelinton,403,3,180974.jpg,2020-21,180974,60,57,74,1979,4,2,3,36,0,0,0,3,0,0,5,258,357.0,250.1,612.0,122.2,0,0.00,0.00,0.00,0.00
Krafth,405,2,111773.jpg,2020-21,111773,45,42,45,1286,1,1,5,27,0,0,0,4,0,0,0,222,240.4,87.7,88.0,41.6,0,0.00,0.00,0.00,0.00
Lascelles,407,2,101148.jpg,2020-21,101148,45,42,44,1625,2,0,2,32,0,0,0,4,0,0,3,229,345.2,38.1,161.0,54.7,0,0.00,0.00,0.00,0.00
Lewis,408,2,194799.jpg,2020-21,194799,45,40,44,1833,0,1,3,37,0,0,0,4,0,0,3,261,272.6,224.8,47.0,54.2,0,0.00,0.00,0.00,0.00
Livramento,409,2,441191.jpg,2020-21,441191,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Longstaff,410,3,180135.jpg,2020-21,180135,50,46,41,1405,0,1,2,26,0,0,0,2,0,0,1,168,179.2,182.8,148.0,50.8,0,0.00,0.00,0.00,0.00
Pope,413,1,98747.jpg,2020-21,98747,55,55,144,2880,0,0,11,37,0,0,0,1,0,114,20,652,846.6,20.0,2.0,86.8,0,0.00,0.00,0.00,0.00
Ruddy,414,1,19236.jpg,2020-21,19236,45,43,4,91,0,0,0,1,0,0,0,0,0,3,0,19,25.4,0.0,0.0,2.5,0,0.00,0.00,0.00,0.00
