WEB_NAME,PLAYER_ID,POS_ID,PHOTO,SEASON_NAME,ELEMENT_CODE,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
Digne,36,2,101188.jpg,2018-19,101188,50,54,158,2964,4,5,13,38,1,0,0,5,1,0,22,736,883.0,1142.0,300.0,232.7,0,0.00,0.00,0.00,0.00
Hause,40,2,123354.jpg,2018-19,123354,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Martinez,47,1,98980.jpg,2018-19,98980,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Mings,49,2,149484.jpg,2018-19,149484,45,42,5,141,0,0,0,4,0,0,0,0,0,0,0,41,49.0,16.3,2.0,6.8,0,0.00,0.00,0.00,0.00
Tielemans,57,3,166989.jpg,2018-19,166989,60,60,63,1087,3,5,3,14,0,0,0,2,0,0,6,267,299.0,269.7,249.0,81.8,0,0.00,0.00,0.00,0.00
Brooks,62,3,111317.jpg,2018-19,111317,50,50,123,2263,7,6,9,41,0,0,0,3,0,0,7,414,598.0,466.7,609.0,167.5,0,0.00,0.00,0.00,0.00
Cook,64,3,155408.jpg,2018-19,155408,50,46,22,719,0,0,3,10,0,0,0,2,0,0,0,91,76.0,50.4,36.0,16.5,0,0.00,0.00,0.00,0.00
Zanka,112,2,48760.jpg,2018-19,48760,45,44,67,2147,3,1,3,38,0,0,0,6,0,0,4,402,544.2,103.7,169.0,81.9,0,0.00,0.00,0.00,0.00
Dunk,120,2,83299.jpg,2018-19,83299,45,44,91,3151,2,1,7,56,0,0,0,5,1,0,6,573,805.8,132.9,245.0,118.7,0,0.00,0.00,0.00,0.00
Gross,125,3,60307.jpg,2018-19,60307,70,67,80,1864,3,3,3,31,0,0,1,1,0,0,12,347,456.0,815.3,344.0,161.7,0,0.00,0.00,0.00,0.00
March,132,3,109345.jpg,2018-19,109345,50,47,94,2459,1,6,6,40,0,0,0,1,0,0,5,342,474.6,684.5,405.0,156.6,0,0.00,0.00,0.00,0.00
Milner,134,3,15157.jpg,2018-19,15157,55,56,101,1778,5,5,9,13,0,0,0,5,1,0,12,448,587.2,725.2,374.0,169.2,0,0.00,0.00,0.00,0.00
Steele,142,1,49262.jpg,2018-19,49262,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Welbeck,148,4,50175.jpg,2018-19,50175,65,64,19,146,1,1,0,3,0,0,0,0,0,0,3,63,73.6,56.8,66.0,19.5,0,0.00,0.00,0.00,0.00
Bettinelli,155,1,122074.jpg,2018-19,122074,45,42,15,630,0,0,0,20,0,1,0,1,0,20,0,114,195.0,0.0,0.0,19.4,0,0.00,0.00,0.00,0.00
Chilwell,160,2,172850.jpg,2018-19,172850,50,50,118,3240,0,5,10,43,0,0,0,4,0,0,8,578,721.0,674.6,298.0,170.0,0,0.00,0.00,0.00,0.00
Mepham,72,2,223911.jpg,2018-19,223911,45,45,27,848,0,1,2,17,0,0,0,1,0,0,0,158,177.2,24.1,22.0,22.5,0,0.00,0.00,0.00,0.00
Philip,76,3,168991.jpg,2018-19,168991,45,45,63,2187,2,0,5,43,0,0,0,7,0,0,4,317,494.6,341.0,375.0,121.3,0,0.00,0.00,0.00,0.00
Smith,81,2,54469.jpg,2018-19,54469,45,43,70,2067,1,1,8,33,0,0,0,5,1,0,1,383,374.0,199.8,110.0,68.5,0,0.00,0.00,0.00,0.00
Travers,84,1,229600.jpg,2018-19,229600,40,40,9,180,0,0,1,5,0,0,0,0,0,9,1,46,68.2,0.0,0.0,6.8,0,0.00,0.00,0.00,0.00
Arrizabalaga,152,1,109745.jpg,2018-19,109745,55,54,142,3240,0,0,14,39,0,1,0,2,0,82,7,685,681.0,0.1,0.0,68.0,0,0.00,0.00,0.00,0.00
Mee,100,2,51927.jpg,2018-19,51927,50,46,81,3420,0,2,8,68,2,0,0,9,0,0,5,572,885.4,113.8,238.0,123.9,0,0.00,0.00,0.00,0.00
G.Jesus,2,4,205651.jpg,2018-19,205651,105,99,79,1017,7,3,2,11,0,0,0,1,0,0,7,259,395.2,300.5,864.0,156.3,0,0.00,0.00,0.00,0.00
Jorginho,7,3,85955.jpg,2018-19,85955,50,46,96,3156,2,0,16,37,0,0,0,8,0,0,4,577,691.4,628.4,122.0,144.2,0,0.00,0.00,0.00,0.00
Rice,16,3,204480.jpg,2018-19,204480,45,44,92,3003,2,0,6,47,0,0,0,4,0,0,9,586,584.4,174.2,213.0,97.1,0,0.00,0.00,0.00,0.00
Saka,17,3,223340.jpg,2018-19,223340,45,45,1,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
White,24,2,198869.jpg,2018-19,198869,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Zinchenko,25,2,206325.jpg,2018-19,206325,50,47,44,1151,0,3,9,4,0,0,0,1,0,0,1,230,279.2,278.6,77.0,63.5,0,0.00,0.00,0.00,0.00
Sterling,186,3,103955.jpg,2018-19,103955,110,117,234,2770,17,15,17,19,0,0,0,3,0,0,25,743,1060.0,937.4,1572.0,357.1,0,0.00,0.00,0.00,0.00
Merino,633,3,195384.jpg,2018-19,195384,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Barkley,29,3,88894.jpg,2018-19,88894,60,50,79,1231,3,5,7,13,0,0,0,1,0,0,5,300,324.0,349.0,429.0,110.0,0,0.00,0.00,0.00,0.00
Dendoncker,33,3,151589.jpg,2018-19,151589,45,43,48,1465,2,0,3,21,0,0,0,1,0,0,1,209,334.8,126.6,288.0,75.1,0,0.00,0.00,0.00,0.00
Gündogan,625,3,59859.jpg,2018-19,59859,55,54,113,2129,6,3,13,15,0,0,0,3,0,0,10,528,548.8,819.7,447.0,181.6,0,0.00,0.00,0.00,0.00
Dalot,369,2,216051.jpg,2018-19,216051,55,53,27,1009,0,2,1,18,0,0,0,3,0,0,0,171,184.4,259.0,94.0,53.7,0,0.00,0.00,0.00,0.00
Eriksen,370,3,80607.jpg,2018-19,80607,95,92,161,2770,8,12,8,37,0,0,0,3,0,0,15,675,876.0,1148.7,801.0,283.0,0,0.00,0.00,0.00,0.00
Evans,371,2,37642.jpg,2018-19,37642,50,48,77,1993,1,0,8,26,0,0,0,2,0,0,3,418,460.0,66.1,158.0,68.5,0,0.00,0.00,0.00,0.00
Heaton,374,1,21205.jpg,2018-19,21205,50,48,58,1710,0,0,4,27,0,0,0,3,0,63,4,323,442.8,20.1,4.0,46.6,0,0.00,0.00,0.00,0.00
Lindelof,376,2,184667.jpg,2018-19,184667,50,49,85,2600,1,1,6,40,1,0,0,1,0,0,9,527,533.0,75.3,118.0,72.8,0,0.00,0.00,0.00,0.00
Maguire,377,2,95658.jpg,2018-19,95658,55,54,92,2596,3,1,6,41,0,0,0,6,1,0,10,533,715.8,165.3,462.0,134.3,0,0.00,0.00,0.00,0.00
McTominay,381,3,195851.jpg,2018-19,195851,45,42,38,862,2,0,1,18,0,0,0,1,0,0,4,152,175.4,33.1,180.0,38.8,0,0.00,0.00,0.00,0.00
Rashford,385,3,176297.jpg,2018-19,176297,70,73,128,2331,10,7,6,35,0,0,0,3,1,0,14,425,650.0,542.3,1064.0,224.6,0,0.00,0.00,0.00,0.00
Shaw,387,2,106760.jpg,2018-19,106760,50,51,91,2591,1,5,6,39,0,0,0,11,0,0,11,489,586.2,505.6,287.0,138.1,0,0.00,0.00,0.00,0.00
Almirón,391,3,179018.jpg,2018-19,179018,60,60,28,758,0,2,3,11,0,0,0,0,0,0,0,107,121.4,189.8,235.0,54.6,0,0.00,0.00,0.00,0.00
Barnes,392,3,201666.jpg,2018-19,201666,55,55,43,1001,1,3,1,16,0,0,0,0,0,0,1,139,172.8,242.0,534.0,94.8,0,0.00,0.00,0.00,0.00
Burn,395,2,78916.jpg,2018-19,78916,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Dúbravka,396,1,67089.jpg,2018-19,67089,50,50,131,3420,0,0,11,48,0,0,0,1,0,96,10,647,783.6,0.0,0.0,78.4,0,0.00,0.00,0.00,0.00
Hayden,400,3,153127.jpg,2018-19,153127,45,43,69,1857,1,4,7,25,0,0,0,3,1,0,5,306,412.0,298.8,232.0,94.4,0,0.00,0.00,0.00,0.00
J.Murphy,402,3,114243.jpg,2018-19,114243,50,47,16,296,0,1,1,8,0,0,0,0,0,0,0,50,53.6,31.1,22.0,10.7,0,0.00,0.00,0.00,0.00
Lascelles,407,2,101148.jpg,2018-19,101148,50,47,95,2745,0,1,10,36,0,0,0,4,0,0,8,539,632.4,46.8,113.0,79.6,0,0.00,0.00,0.00,0.00
Longstaff,410,3,180135.jpg,2018-19,180135,45,45,26,686,1,1,3,9,0,0,0,2,0,0,1,117,130.4,71.8,106.0,30.9,0,0.00,0.00,0.00,0.00
