NAME,TEAM,POSITION,SEASON,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
James Milner,Brighton,MID,2011-12,75,68,86,1586,3,5,6,17,0,0,0,3,0,0,10,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Danny Welbeck,Brighton,FWD,2011-12,70,63,112,2012,9,5,11,24,0,0,0,3,0,0,12,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Adam Smith,Bournemouth,DEF,2011-12,40,40,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Raheem Sterling,Arsenal,MID,2011-12,50,46,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ross Barkley,Aston Villa,MID,2011-12,50,46,7,216,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jonny Evans,Man Utd,DEF,2011-12,45,53,123,2423,1,3,15,23,1,0,0,6,1,0,11,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
John Ruddy,Newcastle,GKP,2011-12,40,42,97,3319,0,0,3,65,0,1,0,1,1,140,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Romelu Lukaku Bolingoli,Chelsea,FWD,2011-12,80,74,11,165,0,1,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Séamus Coleman,Everton,DEF,2011-12,70,70,30,1127,0,0,2,14,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ashley Young,Everton,DEF,2011-12,100,96,123,1565,6,11,9,18,0,0,0,3,0,0,12,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Asmir Begovic,Everton,GKP,2011-12,50,45,87,1998,0,0,6,31,0,0,0,0,0,84,5,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Tim Ream,Fulham,DEF,2011-12,40,40,22,1170,0,1,0,26,0,0,0,1,0,0,4,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Massimo Luongo,Ipswich,MID,2011-12,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jack Grealish,Man City,MID,2011-12,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Kyle Walker,Man City,DEF,2011-12,55,65,140,3227,2,1,14,32,0,0,0,4,0,0,8,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Craig Dawson,Wolves,DEF,2011-12,45,43,14,542,0,0,1,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Matt Doherty,Wolves,DEF,2011-12,40,40,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Fraser Forster,Spurs,GKP,2011-12,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Łukasz Fabiański,West Ham,GKP,2011-12,55,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
