WEB_NAME,PLAYER_ID,POS_ID,PHOTO,SEASON_NAME,ELEMENT_CODE,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
Nelson,10,3,200641.jpg,2017-18,200641,50,47,5,144,0,0,0,3,0,0,0,0,0,0,0,23,12.0,29.7,11.0,5.3,0,0.00,0.00,0.00,0.00
Andreas,240,3,156689.jpg,2017-18,156689,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Iwobi,247,3,153133.jpg,2017-18,153133,55,51,89,1827,3,5,9,26,0,0,0,1,0,0,2,426,430.0,592.9,635.0,165.6,0,0.00,0.00,0.00,0.00
Johnson,275,2,222018.jpg,2017-18,222018,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ladapo,276,4,94926.jpg,2017-18,94926,45,45,1,16,0,0,0,1,0,0,0,0,0,0,0,3,0.4,1.1,0.0,0.2,0,0.00,0.00,0.00,0.00
Tuanzebe,282,2,180804.jpg,2017-18,180804,40,39,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
J.Ayew,192,3,80146.jpg,2017-18,80146,50,54,108,2850,7,2,7,49,0,0,0,2,1,0,12,382,562.2,350.4,944.0,185.8,0,0.00,0.00,0.00,0.00
Choudhury,287,3,197469.jpg,2017-18,197469,45,44,13,375,0,1,0,9,0,0,0,1,0,0,0,60,68.0,20.2,16.0,10.4,0,0.00,0.00,0.00,0.00
Ndidi,300,3,203341.jpg,2017-18,203341,50,49,78,2896,0,4,9,45,0,0,0,6,2,0,4,449,640.4,230.7,299.0,117.2,0,0.00,0.00,0.00,0.00
Souttar,303,2,194190.jpg,2017-18,194190,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Vardy,306,4,101668.jpg,2017-18,101668,85,88,183,3248,20,2,8,57,0,0,1,3,0,0,28,674,822.8,439.9,1222.0,248.6,0,0.00,0.00,0.00,0.00
Ward,308,1,95463.jpg,2017-18,95463,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Winks,309,3,157668.jpg,2017-18,157668,50,48,31,768,0,1,4,9,0,0,0,0,0,0,0,167,144.4,172.2,14.0,33.1,0,0.00,0.00,0.00,0.00
Alexander-Arnold,311,2,169187.jpg,2017-18,169187,45,44,83,1573,1,2,8,17,0,0,0,3,0,0,10,385,358.2,399.2,142.0,90.1,0,0.00,0.00,0.00,0.00
Gomez,322,2,171287.jpg,2017-18,171287,45,45,86,1901,0,2,9,22,0,0,0,3,0,0,9,480,437.4,285.6,46.0,76.9,0,0.00,0.00,0.00,0.00
Jones,324,3,206915.jpg,2017-18,206915,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
M.Salah,328,3,118748.jpg,2017-18,118748,90,106,303,2905,32,12,15,29,0,0,1,1,0,0,26,881,1496.2,942.5,2109.0,454.4,0,0.00,0.00,0.00,0.00
Robertson,335,2,122798.jpg,2017-18,122798,50,50,111,1940,1,5,10,18,0,0,0,2,0,0,12,514,424.0,414.5,174.0,101.3,0,0.00,0.00,0.00,0.00
Virgil,339,2,97032.jpg,2017-18,97032,55,57,78,2253,0,0,8,28,0,0,0,1,0,0,5,481,601.0,122.6,277.0,100.2,0,0.00,0.00,0.00,0.00
Aké,341,2,126184.jpg,2017-18,126184,50,50,102,3352,2,3,6,59,0,0,0,5,0,0,8,642,932.4,115.1,287.0,133.5,0,0.00,0.00,0.00,0.00
Bernardo,342,3,165809.jpg,2017-18,165809,80,72,112,1514,6,5,9,10,0,0,0,0,0,0,8,440,475.6,508.7,464.0,144.4,0,0.00,0.00,0.00,0.00
