NAME,TEAM,POSITION,SEASON,START_COST,END_COST,TOTAL_POINTS,MINUTES,GOALS_SCORED,ASSISTS,CLEAN_SHEETS,GOALS_CONCEDED,OWN_GOALS,PENALTIES_SAVED,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,SAVES,BONUS,BPS,INFLUENCE,CREATIVITY,THREAT,ICT_INDEX,STARTS,EXPECTED_GOALS,EXPECTED_ASSISTS,EXPECTED_GOAL_INVOLVEMENTS,EXPECTED_GOALS_CONCEDED
James Milner,Brighton,MID,2009-10,70,87,184,3172,7,12,0,37,1,0,1,5,0,0,35,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Danny Welbeck,Brighton,FWD,2009-10,60,59,6,141,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Mikkel Damsgaard,Brentford,MID,2009-10,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Jonny Evans,Man Utd,DEF,2009-10,55,48,68,1585,0,0,0,12,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Joel Ward,Crystal Palace,DEF,2009-10,40,40,8,146,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Séamus Coleman,Everton,DEF,2009-10,45,45,7,108,0,1,0,3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Ashley Young,Everton,DEF,2009-10,85,84,152,3300,5,11,0,37,0,0,1,6,0,0,13,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Asmir Begovic,Everton,GKP,2009-10,40,40,41,1062,0,0,0,23,0,0,0,0,0,41,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Tom Cairney,Fulham,MID,2009-10,45,45,31,898,1,0,0,15,0,0,0,1,0,0,4,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Kyle Walker,Man City,DEF,2009-10,40,40,7,180,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
Łukasz Fabiański,West Ham,GKP,2009-10,50,49,15,360,0,0,0,5,0,0,0,1,0,11,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
